742;1470;2157;2837;3298;4039;4420;4995;5176;5719;5673;5984;5948;6352;6123;6465;6238;6569;6317;6644;6384;6633;6393;6697;6477;6644;6461;6632;6446;6682;6433;6618
1486;2845;4044;5017;5708;6156;6380;6524;6581;6637;6666;6689;6695;6679;6707;6688;6695;6689;6676;6707;6695;6675;6592;6578;6428;6599;6409;6581;6370;6631;6363;6544
2158;4052;5203;6175;6148;6587;6394;6692;6498;6712;6503;6689;6543;6689;6446;6577;5113;5111;5130;6244;5144;5103;6453;6634;6350;6517;6342;6489;6307;6559;6290;6449
2846;5016;6169;6179;6631;6695;6689;6331;6702;6349;6665;6587;4530;5250;5365;5440;6602;6603;6533;6615;6598;6596;6533;6586;6312;6474;6284;6448;6241;6476;6225;6396
3406;5732;6152;6641;6483;6708;6490;6715;6527;5618;5405;5656;5775;6620;6400;6574;5541;5539;5532;5610;5556;6570;6133;6588;6260;6397;6218;6390;5840;6420;6173;6333
4044;6167;6578;6702;6712;6696;6556;6563;5060;5791;5335;6622;6467;6608;6538;5879;6536;6526;6460;6534;6536;6541;6494;6538;6221;6364;6180;6332;6130;6359;6114;6276
4425;6377;5927;6620;6463;6490;5255;5265;5800;5893;5735;6627;5201;5030;6006;5843;5761;5734;5371;5822;6217;6491;6351;6506;6153;6286;6113;6252;6071;6288;6042;6204
4999;6379;6001;6672;6656;6585;5902;5945;6044;6624;6609;6578;5800;5899;6154;6564;6458;6448;6385;6459;6103;6458;6416;6466;6116;6242;6084;6224;6031;6245;6016;6163
